name,city,state,type,established_year,nirf_ranking,naac_grade,courses_offered,faculty_count,student_faculty_ratio,avg_annual_fee,hostel_fee,scholarship_available,placement_rate,avg_package_lpa,highest_package_lpa,companies_visiting,campus_area_acres,has_library,has_hostel,has_sports,has_wifi,has_lab,has_hospital,acceptance_rate,entrance_exams_accepted,total_intake,institution_age,fee_category,region,infrastructure_score,naac_numeric
Indian Institute of Technology Bombay,Mumbai,Maharashtra,Government,1958,,A++,188,289.0,3.5,98810.0,44592,False,65.6,8.37,35.35,588,221.9,True,True,False,False,True,True,30.7,JEE Advanced,1000,68,Low (<1L),West,4,6
Indian Institute of Technology Delhi,New Delhi,Delhi,Government,1961,98.0,A++,106,278.0,4.0,35379.0,58221,True,87.0,8.37,23.64,382,1511.3,False,True,False,True,False,True,56.9,JEE Advanced,1100,65,Low (<1L),North,3,6
Indian Institute of Technology Madras,Chennai,Tamil Nadu,Government,1959,39.0,A++,105,838.0,1.1,28238.0,79823,True,71.4,11.36,42.91,244,1677.1,True,True,True,True,True,True,49.7,JEE Advanced,950,67,Low (<1L),South,6,6
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,Government,1959,125.0,A++,51,1019.0,0.9,56245.0,57869,True,80.1,8.96,51.08,301,353.4,True,True,True,True,True,True,52.7,JEE Advanced,900,67,Low (<1L),North,6,6
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,Government,1951,142.0,A++,43,666.5,1.15,30014.0,119353,True,85.4,12.51,64.93,330,1089.7,False,True,True,True,True,True,32.9,JEE Advanced,1500,75,Low (<1L),East,5,6
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,Government,1847,,A++,160,573.0,2.1,62576.0,145175,True,87.7,13.07,43.63,110,218.7,True,False,True,True,True,True,35.0,JEE Advanced,1200,179,Low (<1L),North,5,6
Indian Institute of Technology Guwahati,Guwahati,Assam,Government,1994,39.0,A++,33,94.0,8.5,23392.0,74313,False,65.5,10.54,48.06,90,576.2,True,True,True,True,True,True,63.6,JEE Advanced,800,32,Low (<1L),Northeast,6,6
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,Government,2008,65.0,A+,78,303.0,2.0,99696.0,42899,False,66.4,12.28,65.11,226,479.6,True,True,False,True,True,True,32.5,JEE Advanced,600,18,Low (<1L),South,5,5
Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,Government,1919,99.0,A++,54,1076.0,1.0,74638.0,67388,False,74.7,14.57,87.19,224,745.3,True,False,False,False,False,True,67.9,JEE Advanced,1050,107,Low (<1L),North,2,6
Indian Institute of Technology Indore,Indore,Madhya Pradesh,Government,2009,96.0,A+,163,584.0,0.9,92992.0,38907,False,80.5,7.35,21.46,70,1550.4,False,True,True,True,True,False,30.5,JEE Advanced,550,17,Low (<1L),Central,4,5
Indian Institute of Technology Dhanbad,Dhanbad,Jharkhand,Government,1926,68.0,A+,77,220.0,4.1,24602.0,100468,True,69.9,7.65,44.11,408,716.0,True,True,True,True,True,True,31.8,JEE Advanced,900,100,Low (<1L),East,6,5
Indian Institute of Technology Patna,Patna,Bihar,Government,2008,243.0,A,48,763.0,0.6,8329.0,42097,True,59.0,7.15,18.98,298,408.1,False,True,True,False,False,False,32.0,JEE Advanced,450,18,Low (<1L),East,2,4
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,Government,2009,160.0,A,158,804.0,0.4,7614.0,147823,False,50.7,6.41,30.99,446,2434.7,True,False,True,False,False,False,53.0,JEE Advanced,350,17,Low (<1L),North,2,4
