name,city,state,type,established_year,nirf_ranking,naac_grade,courses_offered,faculty_count,student_faculty_ratio,avg_annual_fee,hostel_fee,scholarship_available,placement_rate,avg_package_lpa,highest_package_lpa,companies_visiting,campus_area_acres,has_library,has_hostel,has_sports,has_wifi,has_lab,has_hospital,acceptance_rate,entrance_exams_accepted,total_intake
Indian Institute of Technology Bombay,Mumbai,Maharashtra,Government,1958,,A++,188,289,3.5,98810,44592,False,65.6,,,588,221.9,True,True,False,False,True,True,30.7,JEE Advanced,1000
Indian Institute of Technology Delhi,New Delhi,Delhi,Government,1961,98,A++,106,278,4.0,35379,58221,True,87.0,8.37,23.64,382,1511.3,False,True,False,True,False,True,56.9,JEE Advanced,1100
Indian Institute of Technology Madras,Chennai,Tamil Nadu,Government,1959,39,A++,105,838,1.1,28238,79823,True,71.4,11.36,42.91,244,1677.1,True,True,True,True,True,True,49.7,JEE Advanced,950
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,Government,1959,125,A++,51,1019,0.9,56245,57869,True,80.1,8.96,51.08,301,353.4,True,True,True,True,True,True,52.7,JEE Advanced,900
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,Govt,1951,142,A++,43,,,30014,119353,True,85.4,12.51,64.93,330,1089.7,False,True,True,True,True,True,32.9,JEE Advanced,1500
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,Government,1847,,A++,160,573,2.1,62576,145175,True,87.7,13.07,43.63,110,218.7,True,False,True,True,True,True,35.0,JEE Advanced,1200
Indian Institute of Technology Guwahati,Guwahati,Assam,Government,1994,39,A++,33,94,8.5,23392,74313,False,65.5,10.54,48.06,90,576.2,True,True,True,True,True,True,63.6,JEE Advanced,800
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,Government,2008,65,A+,78,303,2.0,99696,42899,False,66.4,12.28,65.11,226,479.6,True,True,False,True,True,True,32.5,JEE Advanced,600
Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,Government,1919,99,A++,54,1076,1.0,74638,67388,False,74.7,14.57,87.19,224,745.3,True,False,False,False,False,True,67.9,JEE Advanced,1050
Indian Institute of Technology Indore,Indore,Madhya Pradesh,Government,2009,96,A+,163,584,0.9,92992,38907,False,80.5,7.35,21.46,70,1550.4,False,True,True,True,True,False,30.5,JEE Advanced,550
Indian Institute of Technology Dhanbad,Dhanbad,Jharkhand,Government,1926,68,A+,77,220,4.1,24602,100468,True,69.9,7.65,44.11,408,716.0,True,True,True,True,True,True,31.8,JEE Advanced,900
Indian Institute of Technology Patna,Patna,Bihar,Government,2008,243,A,48,763,0.6,8329,42097,True,59.0,7.15,18.98,298,408.1,False,True,True,False,False,False,32.0,JEE Advanced,450
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,Government,2009,160,A,158,804,0.4,7614,147823,False,50.7,6.41,30.99,446,2434.7,True,False,True,False,False,False,53.0,JEE Advanced,350
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,Government,2008,171,A,93,796,0.5,7537,142537,True,54.1,4.0,22.86,263,561.2,False,False,False,True,False,False,46.9,JEE Advanced,400
Indian Institute of Technology Tirupati,Tirupati,Andhra Pradesh,Government,2015,,A,44,1127,0.3,12104,108193,True,53.0,6.64,23.89,424,2249.3,True,False,True,True,True,False,14.9,JEE Advanced,300
Indian Institute of Technology Palakkad,Palakkad,Kerala,Government,2015,153,,172,436,0.6,13341,55144,True,52.6,7.7,37.5,338,1018.2,False,True,False,False,True,True,58.7,JEE Advanced,280
Indian Institute of Technology Bhilai,Bhilai,Chhattisgarh,Government,2016,261,,77,174,1.5,20392,118184,False,49.3,7.03,21.2,516,1530.1,True,True,True,True,True,True,54.3,JEE Advanced,260
Indian Institute of Technology Goa,Goa,Goa,Government,2016,215,,124,1113,0.2,41629,108047,True,49.5,6.78,27.45,591,1117.6,False,False,True,True,True,True,12.8,JEE Advanced,240
Indian Institute of Technology Jammu,Jammu,Jammu & Kashmir,Government,2016,297,,153,757,0.3,30102,120957,False,44.6,4.07,16.08,507,1042.4,True,True,True,True,True,True,16.1,JEE Advanced,250
Indian Institute of Technology Dharwad,Dharwad,Karnataka,Government,2016,,,36,135,1.7,,111560,False,56.0,7.53,34.42,468,343.6,True,False,True,True,True,False,33.4,JEE Advanced,230
National Institute of Technology Trichy,Tiruchirappalli,Tamil Nadu,Government,1964,89,A++,76,392,2.8,20276,128858,True,65.7,7.47,40.62,159,1186.5,True,True,True,False,False,True,9.8,JEE Main,1100
National Institute of Technology Surathkal,Mangalore,Karnataka,Government,1960,,A+,190,697,1.3,92607,120520,False,84.1,7.43,36.71,153,1991.6,True,True,True,False,True,True,40.5,JEE Main,900
National Institute of Technology Warangal,Warangal,Telangana,Govt,1959,61,A+,97,629,1.4,85539,131533,True,76.1,9.36,47.35,281,2077.7,True,True,True,False,True,True,7.9,JEE Main,850
National Institute of Technology Calicut,Kozhikode,Kerala,Government,1961,41,A+,191,572,1.4,40042,41221,True,70.6,9.06,40.25,517,1616.5,False,False,False,True,True,True,35.4,JEE Main,800
National Institute of Technology Rourkela,Rourkela,Odisha,Government,1961,127,A+,64,459,2.1,30814,124540,True,69.4,6.2,27.13,251,1847.8,True,True,True,True,True,True,20.8,JEE Main,950
National Institute of Technology Durgapur,Durgapur,West Bengal,Government,1960,247,A,79,185,4.3,42621,67268,True,54.1,5.2,16.36,519,289.6,False,True,True,True,False,True,6.4,JEE Main,800
Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,Government,1961,56,A+,160,705,1.1,74049,149079,True,75.2,13.6,81.13,91,1526.0,False,True,True,True,True,False,52.3,JEE Main,750
Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,Government,1960,135,A+,123,485,1.4,74510,39329,True,80.8,14.24,74.87,147,1363.7,True,True,True,True,False,True,46.0,JEE Main,700
Visvesvaraya National Institute of Technology,Nagpur,Maharashtra,Government,1960,32,A+,38,132,6.1,93385,35224,False,85.5,12.35,56.97,264,2405.0,True,True,True,True,False,True,58.8,JEE Main,800
National Institute of Technology Jamshedpur,Jamshedpur,Jharkhand,Government,1960,297,A,155,900,0.7,15539,73228,False,52.3,5.48,26.41,67,1139.8,True,True,True,True,False,False,23.4,JEE Main,650
National Institute of Technology Silchar,Silchar,Assam,Government,1967,129,A,94,404,1.5,36766,45915,True,40.9,6.15,32.58,594,39.1,False,True,True,True,True,True,29.7,JEE Main,600
National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,Government,1986,138,A,200,659,0.8,32193,74548,False,68.0,5.54,29.76,335,2094.5,False,True,True,True,True,True,41.4,JEE Main,500
National Institute of Technology Srinagar,Srinagar,Jammu & Kashmir,Government,1960,,B++,47,155,3.5,30302,116991,False,63.8,6.26,18.98,544,2413.6,True,True,True,True,True,True,24.6,JEE Main,550
National Institute of Technology Agartala,Agartala,Tripura,Government,1965,125,A,73,668,0.7,36978,144344,True,56.2,6.09,20.23,122,1087.8,True,False,True,True,True,True,8.7,JEE Main,450
National Institute of Technology Raipur,Raipur,Chhattisgarh,Government,1956,219,A,178,1024,0.5,45613,119539,True,47.2,7.56,22.69,290,1151.6,False,True,True,True,True,False,47.3,JEE Main,500
Indian Institute of Science,Bangalore,Karnataka,Government,1909,36,A++,85,890,0.4,62049,105341,True,71.8,11.99,30.9,38,1417.0,True,True,True,True,True,True,48.6,KVPY/JEE,400
IISER Pune,Pune,Maharashtra,Government,2006,31,A++,150,829,0.2,245947,84460,False,87.5,15.04,65.99,543,2284.2,False,True,True,False,True,False,58.5,IAT,200
IISER Kolkata,Kolkata,West Bengal,Government,2006,21,A+,42,840,0.2,169219,78311,True,94.4,27.46,124.83,269,1181.3,True,True,True,True,True,True,44.1,IAT,180
IISER Mohali,Mohali,Punjab,Government,2007,14,A+,140,282,0.6,191608,84935,False,93.2,28.71,160.75,447,2347.9,True,True,True,False,True,True,21.0,IAT,170
IISER Bhopal,Bhopal,Madhya Pradesh,Government,2008,39,A+,165,504,0.3,83010,133150,True,92.9,13.58,70.32,251,2033.6,False,False,True,True,False,False,17.8,IAT,160
IISER Thiruvananthapuram,Thiruvananthapuram,Kerala,Government,2008,29,A,31,312,0.5,54136,52838,True,88.7,14.92,59.28,517,1123.4,True,True,True,True,True,True,26.6,IAT,150
BITS Pilani,Pilani,Rajasthan,Private,1964,8,A++,90,1166,1.0,1076750,111830,True,91.4,20.97,76.29,494,1266.3,True,False,True,True,True,True,31.3,BITSAT,1200
Vellore Institute of Technology,Vellore,Tamil Nadu,Private,1984,45,A++,157,346,14.5,289511,42219,True,66.7,9.96,37.89,91,1468.2,True,True,False,True,False,True,40.2,VITEEE,5000
SRM Institute of Science and Technology,Chennai,Tamil Nadu,Private,1985,22,A++,170,133,33.8,1703974,59643,True,94.5,26.9,159.0,303,77.2,True,True,True,False,False,True,20.6,SRMJEEE,4500
Manipal Academy of Higher Education,Manipal,Karnataka,Private,1953,29,A++,187,,,,104395,True,90.7,27.67,84.24,113,683.9,False,True,True,True,True,True,47.0,MET,3000
Amity University,Noida,UP,Private,2005,136,A+,59,961,4.2,343901,130160,False,61.9,6.62,16.73,162,953.6,True,True,True,True,False,False,49.8,Amity JEE,4000
Lovely Professional University,Phagwara,Punjab,Private,2005,69,A+,77,296,20.3,682446,139055,True,73.6,6.89,27.76,476,1474.2,False,True,True,False,True,False,37.6,LPUNEST,6000
